IDFIL,NAME,TOTAL_FLUX,MEAN_DENS,MEAN_TEMP,ELLIPTICITY,CONTRAST,SATELLITE,INSTRUMENT
976054,HiGALFil313.9442+0.0649,5.1376000e+24,1.0937000e+21,17.6340,2.27273,1.19580,Herschel,SPIRE
976058,HiGALFil311.4794+0.1230,2.0042000e+25,1.5545000e+21,19.2070,3.12500,1.21550,Herschel,SPIRE
976067,HiGALFil314.9678+0.0987,1.1154000e+25,1.5434000e+21,17.5170,2.50000,1.27090,Herschel,SPIRE
976089,HiGALFil318.7992+0.0953,3.1917000e+24,3.1987000e+20,17.4970,1.69492,1.06640,Herschel,SPIRE
976093,HiGALFil315.2900+0.0959,1.7133000e+25,1.5176000e+21,16.9720,3.57143,1.28050,Herschel,SPIRE
976109,HiGALFil319.7302+0.1095,1.2507000e+25,9.2086000e+20,17.1330,2.17391,1.20910,Herschel,SPIRE
976149,HiGALFil313.7119+0.1022,8.5655000e+24,3.1260000e+21,18.3460,2.17391,1.65860,Herschel,SPIRE
976150,HiGALFil312.8409+0.1725,1.7072000e+25,2.1660000e+21,18.5240,3.57143,1.26900,Herschel,SPIRE
976159,HiGALFil320.5619+0.0938,3.4294000e+24,1.0602000e+21,18.4140,1.61290,1.41580,Herschel,SPIRE
976177,HiGALFil319.9713+0.0955,3.6108000e+24,5.3782000e+20,17.8470,1.92308,1.16820,Herschel,SPIRE
976182,HiGALFil314.8100+0.0891,3.4960000e+24,5.6211000e+20,17.5770,2.50000,1.09890,Herschel,SPIRE
976215,HiGALFil313.9465+0.1964,3.0844000e+25,1.7145000e+21,17.4340,3.33333,1.26100,Herschel,SPIRE
976217,HiGALFil312.5519+0.1159,1.2177000e+25,2.7099000e+21,17.8600,1.66667,1.34070,Herschel,SPIRE
976224,HiGALFil320.6343+0.1160,5.2527000e+24,1.2009000e+21,18.4850,1.40845,1.29950,Herschel,SPIRE
976229,HiGALFil316.2684+0.1023,4.7878000e+24,1.0641000e+21,17.2690,2.70270,1.12650,Herschel,SPIRE
976271,HiGALFil314.4992+0.1120,3.0295000e+24,4.6938000e+20,17.4500,2.08333,1.07610,Herschel,SPIRE
976274,HiGALFil313.0168+0.1661,1.6087000e+25,1.2599000e+21,17.9680,1.53846,1.19790,Herschel,SPIRE
976275,HiGALFil312.6574+0.1463,7.3558000e+24,9.9296000e+20,18.6250,2.50000,1.12730,Herschel,SPIRE
976287,HiGALFil314.8614+0.1130,4.1556000e+24,5.4475000e+20,17.3170,2.22222,1.15480,Herschel,SPIRE
976291,HiGALFil312.4030+0.1309,7.8221000e+24,1.0189000e+21,18.0840,1.75439,1.14490,Herschel,SPIRE
976303,HiGALFil317.0074+0.1339,5.4246000e+24,8.0579000e+20,17.7470,1.88679,1.15400,Herschel,SPIRE
