IDSTAR,NAMESTAR,GLON_ST,GLAT_ST,FLUX_ST,TYPE_ST
24273,HIGALPS005.1161-0.5342,5.1166780,-0.53428600,7.53337,PRESTELLAR
24279,HIGALPS005.1183+0.9434,5.1180030,0.94257000,2.30623,UNBOUND
24280,HIGALPS005.1182+1.0184,5.1180030,1.0193960,3.06888,PRESTELLAR
24300,HIGALPS005.1232+0.1601,5.1224790,0.15942300,6.42774,UNBOUND
24311,HIGALPS005.1265+0.0317,5.1260440,0.031794000,6.10960,PRESTELLAR
24318,HIGALPS005.1266-1.3342,5.1273970,-1.3342170,5.14805,PRESTELLAR
24321,HIGALPS005.1282+0.9240,5.1280560,0.92298400,1.56750,UNBOUND
24325,HIGALPS005.1291-0.7323,5.1290660,-0.73145800,12.6550,PRESTELLAR
24326,HIGALPS005.1296-1.2362,5.1294730,-1.2353110,3.12385,PRESTELLAR
24330,HIGALPS005.1312+0.2855,5.1303390,0.28622800,2.90993,PRESTELLAR
24336,HIGALPS005.1312-1.3416,5.1311690,-1.3412850,6.31470,PRESTELLAR
24366,HIGALPS005.1388-0.0989,5.1391540,-0.10000200,28.5309,PROTOSTELLAR
24383,HIGALPS005.1440-0.5345,5.1433350,-0.53333100,6.05511,PRESTELLAR
24389,HIGALPS005.1436+0.9448,5.1437240,0.94360900,1.45120,UNBOUND
24391,HIGALPS005.1447-0.0152,5.1448440,-0.015199000,9.16485,PRESTELLAR
24395,HIGALPS005.1451+0.3977,5.1462060,0.39765700,1.47821,PRESTELLAR
24404,HIGALPS005.1495-0.0584,5.1491490,-0.057853000,6.67624,PRESTELLAR
24406,HIGALPS005.1510+0.1739,5.1498280,0.17414700,2.27289,PRESTELLAR
24412,HIGALPS005.1515-0.7233,5.1517230,-0.72283800,11.7446,PRESTELLAR
24420,HIGALPS005.1535-0.1777,5.1534130,-0.17763300,3.55366,PRESTELLAR
24422,HIGALPS005.1538-1.1213,5.1537440,-1.1203920,8.60308,PRESTELLAR
24431,HIGALPS005.1556-0.7363,5.1555980,-0.73650000,4.07292,PRESTELLAR
24434,HIGALPS005.1564-0.3888,5.1563910,-0.38870700,8.45953,UNBOUND
24437,HIGALPS005.1586-0.4541,5.1579440,-0.45299700,2.14058,UNBOUND
24440,HIGALPS005.1603-0.1835,5.1590620,-0.18332800,5.65471,UNBOUND
24444,HIGALPS005.1606-1.3251,5.1598880,-1.3243480,3.35545,PRESTELLAR
24448,HIGALPS005.1607-0.9424,5.1606420,-0.94230000,4.83981,PRESTELLAR
24449,HIGALPS005.1596-0.5837,5.1610100,-0.58363900,3.79486,PRESTELLAR
24459,HIGALPS005.1636-0.5652,5.1634490,-0.56519900,5.49580,PRESTELLAR
24461,HIGALPS005.1638-0.5551,5.1636740,-0.55401500,7.40892,PRESTELLAR
24469,HIGALPS005.1652-0.2233,5.1652960,-0.22340200,6.40979,PRESTELLAR
24474,HIGALPS005.1663-0.4659,5.1659720,-0.46485200,7.20302,PRESTELLAR
24475,HIGALPS005.1657-0.0750,5.1660400,-0.073842000,6.51537,PRESTELLAR
24488,HIGALPS005.1701+0.1394,5.1695730,0.13999000,4.36268,PRESTELLAR
24489,HIGALPS005.1700+0.6474,5.1696380,0.64776800,3.71506,PRESTELLAR
24490,HIGALPS005.1702+0.3339,5.1698890,0.33370800,12.3639,PRESTELLAR
24494,HIGALPS005.1695-1.2590,5.1704370,-1.2580910,5.90728,PRESTELLAR
24499,HIGALPS005.1740-1.0879,5.1728550,-1.0878650,10.2328,PRESTELLAR
24517,HIGALPS005.1778+0.4544,5.1766730,0.45432800,4.61995,PRESTELLAR
24526,HIGALPS005.1811-0.2888,5.1795270,-0.28913800,18.8298,PROTOSTELLAR
24527,HIGALPS005.1808-0.2573,5.1796320,-0.25714700,14.0787,PROTOSTELLAR
24528,HIGALPS005.1795-0.4812,5.1796370,-0.48030900,3.13653,PRESTELLAR
24533,HIGALPS005.1794-0.5250,5.1803620,-0.52538100,13.6481,PRESTELLAR
24535,HIGALPS005.1805+0.3804,5.1804260,0.38047500,6.56260,PRESTELLAR
24552,HIGALPS005.1831-0.4687,5.1831060,-0.46817500,3.45895,PRESTELLAR
24562,HIGALPS005.1854+0.1602,5.1843840,0.16104000,44.9475,PRESTELLAR
24565,HIGALPS005.1846-0.2694,5.1847800,-0.27051800,6.43284,PRESTELLAR
24567,HIGALPS005.1849-1.1060,5.1848900,-1.1061230,3.23886,PRESTELLAR
24574,HIGALPS005.1861-0.0835,5.1863740,-0.082976000,32.3437,PROTOSTELLAR
24597,HIGALPS005.1913-0.2838,5.1904450,-0.28264700,51.0227,PROTOSTELLAR
24603,HIGALPS005.1928-0.6008,5.1924010,-0.59968400,4.92288,PRESTELLAR
24605,HIGALPS005.1932-0.9267,5.1931820,-0.92662600,3.34473,PRESTELLAR
24619,HIGALPS005.1970-0.9485,5.1969100,-0.94845600,8.56913,PRESTELLAR
24630,HIGALPS005.1978+0.0523,5.1992830,0.052488000,23.7256,PRESTELLAR
24638,HIGALPS005.2003+0.2380,5.2000570,0.23858700,6.23330,UNBOUND
24650,HIGALPS005.2019-1.1115,5.2020620,-1.1124450,5.05136,PRESTELLAR
24652,HIGALPS005.2030-0.2826,5.2024150,-0.28187700,12.9348,PROTOSTELLAR
24654,HIGALPS005.2031-0.6105,5.2031320,-0.60995400,8.24792,PRESTELLAR
24659,HIGALPS005.2036+0.7268,5.2035700,0.72690000,3.91782,PRESTELLAR
24660,HIGALPS005.2041-0.0359,5.2041020,-0.035985000,41.6880,PROTOSTELLAR
24663,HIGALPS005.2049-0.2721,5.2045650,-0.27116200,20.3686,PRESTELLAR
24668,HIGALPS005.2059-0.9162,5.2058080,-0.91608500,4.01828,PRESTELLAR
24670,HIGALPS005.2070+0.0694,5.2064710,0.069101000,20.0716,PROTOSTELLAR
24673,HIGALPS005.2081+0.5402,5.2080420,0.54030700,8.32383,UNBOUND
24674,HIGALPS005.2084-0.1498,5.2080470,-0.15102200,5.45039,UNBOUND
24680,HIGALPS005.2100-0.6201,5.2098820,-0.62002600,4.35236,PRESTELLAR
24700,HIGALPS005.2155-0.8865,5.2153520,-0.88663500,6.20928,PRESTELLAR
24705,HIGALPS005.2159-1.0131,5.2162100,-1.0121360,3.93713,PRESTELLAR
24726,HIGALPS005.2205-0.0672,5.2206290,-0.067408000,15.5207,PROTOSTELLAR
24733,HIGALPS005.2217-1.2336,5.2221400,-1.2323810,1.84279,PRESTELLAR
24735,HIGALPS005.2232+0.6319,5.2231490,0.63197300,4.54022,UNBOUND
24772,HIGALPS005.2338+0.1409,5.2325770,0.14088800,11.5459,UNBOUND
24775,HIGALPS005.2342-0.7042,5.2336430,-0.70328400,6.05607,PRESTELLAR
24793,HIGALPS005.2367+0.4891,5.2366900,0.48918700,4.81054,PRESTELLAR
24819,HIGALPS005.2423-1.1328,5.2422530,-1.1327210,7.23914,PRESTELLAR
